(    Schůze  Č. hl.  ...               Datum            Výsledek
0        1       1  ...  20. 11. 2017 13:53  Přijato (zmatečné)
1        1       2  ...  20. 11. 2017 13:53             Přijato
2        1       3  ...  20. 11. 2017 14:47           Zamítnuto
3        1       4  ...  20. 11. 2017 15:39           Zamítnuto
4        1       5  ...  20. 11. 2017 15:39             Přijato
..     ...     ...  ...                 ...                 ...
1       61      42  ...   7. 10. 2020 17:54             Přijato
2       61      43  ...   7. 10. 2020 18:43             Přijato
3       61      44  ...   7. 10. 2020 18:44             Přijato
4       61      45  ...   7. 10. 2020 19:23             Přijato
5       61      46  ...   7. 10. 2020 19:24             Přijato

