Name,Party,Vote,Mtg n.,Proposal n.
Věra Adámková,ANO,A,12,7
Andrej Babiš,ANO,A,12,7
Andrea Babišová,ANO,A,12,7
Margita Balaštíková,ANO,A,12,7
Josef Bělica,ANO,A,12,7
Stanislav Berkovec,ANO,A,12,7
Jiří Bláha,ANO,0,12,7
Richard Brabec,ANO,A,12,7
Milan Brázdil,ANO,A,12,7
Andrea Brzobohatá,ANO,A,12,7
Jaroslav Bžoch,ANO,A,12,7
Klára Dostálová,ANO,A,12,7
Lenka Dražilová,ANO,A,12,7
Jaroslav Faltýnek,ANO,A,12,7
Kamal Farhan,ANO,A,12,7
Milan Feranec,ANO,A,12,7
Eva Fialová,ANO,A,12,7
Stanislav Fridrich,ANO,A,12,7
Josef Hájek,ANO,A,12,7
Milan Hnilička,ANO,A,12,7
Ivan Jáč,ANO,A,12,7
Miloslav Janulík,ANO,Z,12,7
Aleš Juchelka,ANO,A,12,7
Pavel Juříček,ANO,A,12,7
Adam Kalous,ANO,A,12,7
David Kasal,ANO,A,12,7
Tomáš Kohoutek,ANO,A,12,7
Martin Kolovratník,ANO,A,12,7
Barbora Kořanová,ANO,A,12,7
Josef Kott,ANO,A,12,7
Robert Králíček,ANO,A,12,7
Roman Kubíček,ANO,A,12,7
Jan Kubík,ANO,A,12,7
Jaroslav Kytýr,ANO,A,12,7
Taťána Malá,ANO,A,12,7
Přemysl Mališ,ANO,A,12,7
Jiří Mašek,ANO,A,12,7
Eva Matyášová,ANO,A,12,7
Radka Maxová,ANO,A,12,7
Marcela Melková,ANO,A,12,7
Jana Mračková Vildumetzová,ANO,A,12,7
Patrik Nacher,ANO,A,12,7
Marek Novák,ANO,A,12,7
Monika Oborná,ANO,A,12,7
Ladislav Okleštěk,ANO,A,12,7
Zuzana Ožanová,ANO,A,12,7
Jana Pastuchová,ANO,A,12,7
Robert Pelikán,ANO,0,12,7
František Petrtýl,ANO,A,12,7
Pavel Plzák,ANO,A,12,7
Milan Pour,ANO,A,12,7
David Pražák,ANO,A,12,7
Věra Procházková,ANO,A,12,7
Pavel Pustějovský,ANO,A,12,7
Karel Rais,ANO,A,12,7
Michal Ratiborský,ANO,A,12,7
Jan Richter,ANO,A,12,7
Miloslava Rutová,ANO,A,12,7
Pavel Růžička,ANO,A,12,7
Jan Řehounek,ANO,A,12,7
Petr Sadovský,ANO,A,12,7
Jan Schiller,ANO,A,12,7
Pavel Staněk,ANO,A,12,7
Martin Stropnický,ANO,A,12,7
Jiří Strýček,ANO,A,12,7
Karla Šlechtová,ANO,A,12,7
Julius Špičák,ANO,A,12,7
David Štolpa,ANO,A,12,7
Dan Ťok,ANO,M,12,7
Karel Tureček,ANO,A,12,7
Helena Válková,ANO,A,12,7
Adam Vojtěch,ANO,M,12,7
