Name,Party,Vote,Mtg n.,Proposal n.
Věra Adámková,ANO,A,19,116
Andrej Babiš,ANO,M,19,116
Andrea Babišová,ANO,A,19,116
Margita Balaštíková,ANO,A,19,116
Josef Bělica,ANO,M,19,116
Stanislav Berkovec,ANO,A,19,116
Jiří Bláha,ANO,A,19,116
Richard Brabec,ANO,A,19,116
Milan Brázdil,ANO,A,19,116
Andrea Brzobohatá,ANO,A,19,116
Jaroslav Bžoch,ANO,A,19,116
Monika Červíčková,ANO,A,19,116
Klára Dostálová,ANO,A,19,116
Lenka Dražilová,ANO,A,19,116
Jaroslav Faltýnek,ANO,A,19,116
Kamal Farhan,ANO,A,19,116
Milan Feranec,ANO,A,19,116
Eva Fialová,ANO,A,19,116
Stanislav Fridrich,ANO,A,19,116
Josef Hájek,ANO,A,19,116
Milan Hnilička,ANO,A,19,116
Ivan Jáč,ANO,A,19,116
Miloslav Janulík,ANO,A,19,116
Aleš Juchelka,ANO,A,19,116
Pavel Juříček,ANO,A,19,116
Adam Kalous,ANO,A,19,116
David Kasal,ANO,M,19,116
Tomáš Kohoutek,ANO,A,19,116
Martin Kolovratník,ANO,A,19,116
Barbora Kořanová,ANO,M,19,116
Josef Kott,ANO,A,19,116
Robert Králíček,ANO,M,19,116
Roman Kubíček,ANO,A,19,116
Jan Kubík,ANO,A,19,116
Jaroslav Kytýr,ANO,A,19,116
Taťána Malá,ANO,A,19,116
Přemysl Mališ,ANO,A,19,116
Jiří Mašek,ANO,A,19,116
Eva Matyášová,ANO,0,19,116
Radka Maxová,ANO,A,19,116
Marcela Melková,ANO,A,19,116
Jana Mračková Vildumetzová,ANO,A,19,116
Patrik Nacher,ANO,A,19,116
Marek Novák,ANO,A,19,116
Monika Oborná,ANO,A,19,116
Ladislav Okleštěk,ANO,A,19,116
Zuzana Ožanová,ANO,A,19,116
Jana Pastuchová,ANO,A,19,116
František Petrtýl,ANO,A,19,116
Pavel Plzák,ANO,M,19,116
Milan Pour,ANO,A,19,116
David Pražák,ANO,A,19,116
Věra Procházková,ANO,A,19,116
Pavel Pustějovský,ANO,A,19,116
Karel Rais,ANO,A,19,116
Michal Ratiborský,ANO,A,19,116
Jan Richter,ANO,A,19,116
Miloslava Rutová,ANO,A,19,116
Pavel Růžička,ANO,A,19,116
Jan Řehounek,ANO,A,19,116
Petr Sadovský,ANO,A,19,116
Jan Schiller,ANO,A,19,116
Pavel Staněk,ANO,A,19,116
Jiří Strýček,ANO,A,19,116
Karla Šlechtová,ANO,0,19,116
Julius Špičák,ANO,A,19,116
David Štolpa,ANO,A,19,116
Dan Ťok,ANO,A,19,116
Karel Tureček,ANO,A,19,116
Helena Válková,ANO,A,19,116
Petr Venhoda,ANO,A,19,116
Adam Vojtěch,ANO,A,19,116
Jan Volný,ANO,A,19,116
Radek Vondráček,ANO,A,19,116
Ivo Vondrák,ANO,A,19,116
Petr Vrána,ANO,A,19,116
Rostislav Vyzula,ANO,M,19,116
Radek Zlesák,ANO,A,19,116
Ivan Adamec,ODS,0,19,116
Jan Bauer,ODS,A,19,116
Martin Baxa,ODS,A,19,116
Petr Beitl,ODS,A,19,116
Marek Benda,ODS,A,19,116
Stanislav Blaha,ODS,M,19,116
Pavel Blažek,ODS,A,19,116
Jana Černochová,ODS,A,19,116
Petr Fiala,ODS,M,19,116
Jakub Janda,ODS,A,19,116
Václav Klaus,ODS,A,19,116
Karel Krejza,ODS,A,19,116
Martin Kupka,ODS,A,19,116
Zuzana Majerová Zahradníková,ODS,A,19,116
Jaroslav Martinů,ODS,A,19,116
Ilona Mauritzová,ODS,A,19,116
Vojtěch Munzar,ODS,A,19,116
Miroslava Němcová,ODS,0,19,116
Jan Skopeček,ODS,A,19,116
Zbyněk Stanjura,ODS,A,19,116
Bohuslav Svoboda,ODS,A,19,116
Jiří Ventruba,ODS,A,19,116
Veronika Vrecionová,ODS,A,19,116
Jan Zahradník,ODS,A,19,116
Pavel Žáček,ODS,M,19,116
Dana Balcarová,Piráti,M,19,116
Lukáš Bartoň,Piráti,A,19,116
Ivan Bartoš,Piráti,A,19,116
