Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,M,56,204
Andrej Babiš,ANO,M,56,204
Andrea Babišová,ANO,M,56,204
Ondřej Babka,ANO,N,56,204
Margita Balaštíková,ANO,M,56,204
Josef Bělica,ANO,Z,56,204
Stanislav Berkovec,ANO,N,56,204
Jiří Bláha,ANO,M,56,204
Irena Blažková,ANO,M,56,204
Richard Brabec,ANO,N,56,204
Milan Brázdil,ANO,N,56,204
Andrea Brzobohatá,ANO,N,56,204
Jaroslav Bžoch,ANO,N,56,204
Monika Červíčková,ANO,Z,56,204
Klára Dostálová,ANO,M,56,204
Lenka Dražilová,ANO,M,56,204
Jaroslav Faltýnek,ANO,N,56,204
Kamal Farhan,ANO,Z,56,204
Milan Feranec,ANO,N,56,204
Eva Fialová,ANO,N,56,204
Stanislav Fridrich,ANO,M,56,204
Josef Hájek,ANO,N,56,204
Milan Hnilička,ANO,M,56,204
Ivan Jáč,ANO,Z,56,204
Miloslav Janulík,ANO,M,56,204
Aleš Juchelka,ANO,Z,56,204
Pavel Juříček,ANO,M,56,204
Iva Kalátová,ANO,M,56,204
Adam Kalous,ANO,N,56,204
David Kasal,ANO,M,56,204
Tomáš Kohoutek,ANO,M,56,204
Martin Kolovratník,ANO,N,56,204
Barbora Kořanová,ANO,N,56,204
Josef Kott,ANO,Z,56,204
Robert Králíček,ANO,Z,56,204
Roman Kubíček,ANO,Z,56,204
Jan Kubík,ANO,N,56,204
Jaroslav Kytýr,ANO,M,56,204
Taťána Malá,ANO,Z,56,204
Přemysl Mališ,ANO,Z,56,204
Jiří Mašek,ANO,M,56,204
Eva Matyášová,ANO,Z,56,204
Marcela Melková,ANO,N,56,204
Jana Mračková Vildumetzová,ANO,N,56,204
Patrik Nacher,ANO,Z,56,204
Marek Novák,ANO,Z,56,204
Monika Oborná,ANO,Z,56,204
Ladislav Okleštěk,ANO,M,56,204
Zuzana Ožanová,ANO,M,56,204
