Schůze,Č. hl.,Bod,Název,Datum,Výsledek
1,1,3.0,Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,
1,2,3.0,Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,1.0
1,3,,Procedurální hlasování,20. 11. 2017 14:47,0.0
1,4,4.0,Náv.na stanovení počtu čl. MIV,20. 11. 2017 15:39,0.0
1,5,4.0,Náv.na stanovení počtu čl. MIV,20. 11. 2017 15:39,1.0
1,6,6.0,Návrh na ustavení MIV,22. 11. 2017 10:06,1.0
1,7,7.0,Návrh na potvrzení předsedy MIV,22. 11. 2017 12:57,1.0
1,8,8.0,Inf. MIV o ověření platnosti volby poslanců,22. 11. 2017 13:00,1.0
1,9,10.0,Návrh na stanovení počtu místopředsedů PS,22. 11. 2017 17:23,0.0
1,10,10.0,Návrh na stanovení počtu místopředsedů PS,22. 11. 2017 17:24,1.0
1,11,12.0,Návrh na stanovení počtu ověřovatelů PS,24. 11. 2017 13:31,1.0
1,12,13.0,Návrh na nominaci ověřovatelů PS,24. 11. 2017 13:35,1.0
1,13,13.0,Návrh na nominaci ověřovatelů PS,24. 11. 2017 13:36,1.0
1,14,14.0,Návrh na zřízení výborů PS,24. 11. 2017 13:39,1.0
1,15,15.0,Návrh na stanovení počtu členů výborů PS,24. 11. 2017 13:43,1.0
1,16,17.0,Návrh termínu 2. schůze PS,24. 11. 2017 14:01,1.0
